DepthFromTrenton_ft,TOC,Mg,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,Rb,Sr,Zr,Nb,Ba,Hg,Th,
23.88,,12970.51,55479.86,121242.79,4902.31,14207.22,257317.39,1806.68,,440.62,9939.27,,,12.14,41.42,1442.97,54.02,4.1,47,,15.4,
23.69,,17582.15,32126.58,91589.59,5036.28,6262.14,326955.5,1776.41,,339.22,9578.22,25.97,,6.71,18.42,2098.3,43.35,2.63,53.59,,19.11,
23.49,,12488.86,34728.6,84964.61,7050.03,8064.68,324497.69,1296.43,,261.07,11662.76,47.05,,34.75,21.55,2055.18,41.05,2.41,74.31,,21.09,
23.29,,18715.28,43595.53,93227.42,6153.59,8644.39,317100.78,1390.07,,359.5,10605.21,32.26,,15.57,25.09,2050.86,50.24,2.3,99.21,,14.82,
23.10,,15931.42,39284.51,89734.4,10130.37,8459.26,307291.31,1516.96,,344.83,12416.31,21.39,,19.32,23.66,1952.11,57.66,3,106.68,,12.62,
22.90,1.3696,15146,47431.64,100165.57,5548.04,11818.24,291781.88,1722.96,,489.98,10838.02,,,24.94,34.85,1710.86,46.34,4.16,,,11.71,
22.70,,9986.22,38983.72,90862.52,8534.76,10640.93,293504.25,1717.1,,332.06,11098.12,,,24.65,31.01,1698.86,40.85,3.63,79.18,,13.32,
22.51,,15220.11,40265.18,88895.2,5497.76,10021.58,306889.38,1631.66,,267.23,10000.36,18.92,,33.86,29.34,1770.83,36.09,2.41,63.47,,15.7,
22.31,,16814.89,32683.67,77252.36,4368.91,6602.45,351056.25,1537.63,,411.23,8341.99,17.11,,11.32,19.44,2018.45,27.48,1.78,,,16.64,
22.11,,14679.55,35544.67,89093.52,4979.19,8399.59,313997.59,1708.12,,451.05,10254.5,,,7.77,24.13,1888.07,41.83,3.56,29.5,,15.34,
21.92,,16064.91,44879.06,104806.34,5858.92,11460.81,275656.25,1816.84,,343.3,12398.06,,,14.65,32.96,1722.65,49.88,3.81,69.21,,16.39,
21.72,,13394.91,41371.25,91633.3,5337.09,9324.56,300598.56,1649.03,,291.77,11062.99,29.14,12.81,7.58,28.18,1933.54,38.81,2.68,109.18,,15.81,
